goos: linux
goarch: amd64
pkg: maps-benchmark
cpu: INTEL(R) XEON(R) PLATINUM 8581C CPU @ 2.30GHz
BenchmarkMapAppend/10         	38487019	       310.4 ns/op	     162 B/op	       1 allocs/op
BenchmarkMapAppend/10         	38681209	       308.3 ns/op	     162 B/op	       1 allocs/op
BenchmarkMapAppend/10         	38842651	       309.4 ns/op	     162 B/op	       1 allocs/op
BenchmarkMapAppend/10         	38799009	       308.1 ns/op	     162 B/op	       1 allocs/op
BenchmarkMapAppend/10         	38764730	       308.9 ns/op	     162 B/op	       1 allocs/op
BenchmarkMapAppend/10         	38777130	       309.4 ns/op	     162 B/op	       1 allocs/op
BenchmarkMapAppend/10         	38926040	       308.5 ns/op	     162 B/op	       1 allocs/op
BenchmarkMapAppend/10         	39019024	       308.2 ns/op	     162 B/op	       1 allocs/op
BenchmarkMapAppend/10         	38835344	       308.7 ns/op	     162 B/op	       1 allocs/op
BenchmarkMapAppend/10         	38939714	       308.6 ns/op	     162 B/op	       1 allocs/op
BenchmarkMapAppend/10         	38988147	       309.1 ns/op	     162 B/op	       1 allocs/op
BenchmarkMapAppend/10         	38759841	       308.7 ns/op	     162 B/op	       1 allocs/op
BenchmarkMapAppend/10         	38830113	       308.8 ns/op	     162 B/op	       1 allocs/op
BenchmarkMapAppend/10         	38778092	       308.7 ns/op	     162 B/op	       1 allocs/op
BenchmarkMapAppend/10         	38752917	       309.1 ns/op	     162 B/op	       1 allocs/op
BenchmarkMapAppend/100        	 2327985	      5122 ns/op	    3039 B/op	      17 allocs/op
BenchmarkMapAppend/100        	 2348763	      5114 ns/op	    3039 B/op	      17 allocs/op
BenchmarkMapAppend/100        	 2350120	      5117 ns/op	    3039 B/op	      17 allocs/op
BenchmarkMapAppend/100        	 2344228	      5126 ns/op	    3039 B/op	      17 allocs/op
BenchmarkMapAppend/100        	 2350582	      5112 ns/op	    3039 B/op	      17 allocs/op
BenchmarkMapAppend/100        	 2344387	      5103 ns/op	    3039 B/op	      17 allocs/op
BenchmarkMapAppend/100        	 2353938	      5106 ns/op	    3039 B/op	      17 allocs/op
BenchmarkMapAppend/100        	 2340692	      5097 ns/op	    3039 B/op	      17 allocs/op
BenchmarkMapAppend/100        	 2353432	      6738 ns/op	    3039 B/op	      17 allocs/op
BenchmarkMapAppend/100        	 2354800	      5101 ns/op	    3039 B/op	      17 allocs/op
BenchmarkMapAppend/100        	 2350114	      5129 ns/op	    3039 B/op	      17 allocs/op
BenchmarkMapAppend/100        	 2348282	      5116 ns/op	    3039 B/op	      17 allocs/op
BenchmarkMapAppend/100        	 2345830	      5105 ns/op	    3039 B/op	      17 allocs/op
BenchmarkMapAppend/100        	 2350713	      5121 ns/op	    3040 B/op	      17 allocs/op
BenchmarkMapAppend/100        	 2351430	      5103 ns/op	    3039 B/op	      17 allocs/op
BenchmarkMapAppend/1000       	  202359	     59394 ns/op	   47734 B/op	      65 allocs/op
BenchmarkMapAppend/1000       	  201976	     59298 ns/op	   47736 B/op	      65 allocs/op
BenchmarkMapAppend/1000       	  202662	     59321 ns/op	   47733 B/op	      65 allocs/op
BenchmarkMapAppend/1000       	  202063	     59450 ns/op	   47733 B/op	      65 allocs/op
BenchmarkMapAppend/1000       	  202606	     59321 ns/op	   47733 B/op	      65 allocs/op
BenchmarkMapAppend/1000       	  201510	     59347 ns/op	   47734 B/op	      65 allocs/op
BenchmarkMapAppend/1000       	  202413	     59380 ns/op	   47733 B/op	      65 allocs/op
BenchmarkMapAppend/1000       	  202021	     59643 ns/op	   47734 B/op	      65 allocs/op
BenchmarkMapAppend/1000       	  201910	     59426 ns/op	   47735 B/op	      65 allocs/op
BenchmarkMapAppend/1000       	  202266	     59383 ns/op	   47733 B/op	      65 allocs/op
BenchmarkMapAppend/1000       	  201829	     59341 ns/op	   47735 B/op	      65 allocs/op
BenchmarkMapAppend/1000       	  202464	     59359 ns/op	   47735 B/op	      65 allocs/op
BenchmarkMapAppend/1000       	  201612	     59553 ns/op	   47735 B/op	      65 allocs/op
BenchmarkMapAppend/1000       	  202161	     59381 ns/op	   47735 B/op	      65 allocs/op
BenchmarkMapAppend/1000       	  202686	     59352 ns/op	   47736 B/op	      65 allocs/op
BenchmarkMapAppend/10000      	   22465	    534298 ns/op	  389467 B/op	     255 allocs/op
BenchmarkMapAppend/10000      	   22450	    535845 ns/op	  389441 B/op	     254 allocs/op
BenchmarkMapAppend/10000      	   22471	    534321 ns/op	  389443 B/op	     254 allocs/op
BenchmarkMapAppend/10000      	   22466	    533317 ns/op	  389439 B/op	     254 allocs/op
BenchmarkMapAppend/10000      	   22563	    533823 ns/op	  389442 B/op	     254 allocs/op
BenchmarkMapAppend/10000      	   22345	    533895 ns/op	  389444 B/op	     254 allocs/op
BenchmarkMapAppend/10000      	   22479	    533277 ns/op	  389443 B/op	     254 allocs/op
BenchmarkMapAppend/10000      	   22509	    533776 ns/op	  389462 B/op	     255 allocs/op
BenchmarkMapAppend/10000      	   22506	    534816 ns/op	  389460 B/op	     255 allocs/op
BenchmarkMapAppend/10000      	   22513	    532623 ns/op	  389449 B/op	     255 allocs/op
BenchmarkMapAppend/10000      	   22507	    532946 ns/op	  389470 B/op	     255 allocs/op
BenchmarkMapAppend/10000      	   22516	    533498 ns/op	  389444 B/op	     254 allocs/op
BenchmarkMapAppend/10000      	   22341	    532948 ns/op	  389444 B/op	     255 allocs/op
BenchmarkMapAppend/10000      	   22502	    533427 ns/op	  389456 B/op	     255 allocs/op
BenchmarkMapAppend/10000      	   22503	    533321 ns/op	  389454 B/op	     255 allocs/op
BenchmarkMapAppend/100000     	    2163	   5286123 ns/op	 3266920 B/op	    3931 allocs/op
BenchmarkMapAppend/100000     	    2277	   5261871 ns/op	 3267130 B/op	    3934 allocs/op
BenchmarkMapAppend/100000     	    2280	   6219770 ns/op	 3266927 B/op	    3931 allocs/op
BenchmarkMapAppend/100000     	    2270	   5267599 ns/op	 3267014 B/op	    3932 allocs/op
BenchmarkMapAppend/100000     	    2277	   5271325 ns/op	 3266998 B/op	    3932 allocs/op
BenchmarkMapAppend/100000     	    2275	   5291019 ns/op	 3266850 B/op	    3930 allocs/op
BenchmarkMapAppend/100000     	    2276	   5264073 ns/op	 3266899 B/op	    3931 allocs/op
BenchmarkMapAppend/100000     	    2276	   5267593 ns/op	 3267017 B/op	    3932 allocs/op
BenchmarkMapAppend/100000     	    2277	   5260331 ns/op	 3266947 B/op	    3932 allocs/op
BenchmarkMapAppend/100000     	    2281	   5274007 ns/op	 3267018 B/op	    3932 allocs/op
BenchmarkMapAppend/100000     	    2271	   5290377 ns/op	 3266911 B/op	    3931 allocs/op
BenchmarkMapAppend/100000     	    2272	   5276535 ns/op	 3266853 B/op	    3930 allocs/op
BenchmarkMapAppend/100000     	    2269	   5283407 ns/op	 3266986 B/op	    3932 allocs/op
BenchmarkMapAppend/100000     	    2274	   5278082 ns/op	 3267068 B/op	    3933 allocs/op
BenchmarkMapAppend/100000     	    2272	   5281325 ns/op	 3266929 B/op	    3931 allocs/op
BenchmarkMapAppend/1000000    	     127	  91343059 ns/op	49622986 B/op	   38331 allocs/op
BenchmarkMapAppend/1000000    	     127	  93959533 ns/op	49624388 B/op	   38349 allocs/op
BenchmarkMapAppend/1000000    	     127	  95194893 ns/op	49622126 B/op	   38320 allocs/op
BenchmarkMapAppend/1000000    	     127	  93789261 ns/op	49623148 B/op	   38334 allocs/op
BenchmarkMapAppend/1000000    	     126	  93048487 ns/op	49622063 B/op	   38320 allocs/op
BenchmarkMapAppend/1000000    	     127	  94105926 ns/op	49623388 B/op	   38337 allocs/op
BenchmarkMapAppend/1000000    	     129	  92981351 ns/op	49624263 B/op	   38352 allocs/op
BenchmarkMapAppend/1000000    	     128	  93415798 ns/op	49621931 B/op	   38318 allocs/op
BenchmarkMapAppend/1000000    	     128	  93269903 ns/op	49623660 B/op	   38340 allocs/op
BenchmarkMapAppend/1000000    	     129	  92491245 ns/op	49622634 B/op	   38327 allocs/op
BenchmarkMapAppend/1000000    	     126	  95346724 ns/op	49622815 B/op	   38329 allocs/op
BenchmarkMapAppend/1000000    	     124	  94631738 ns/op	49623040 B/op	   38332 allocs/op
BenchmarkMapAppend/1000000    	     126	  94831618 ns/op	49620657 B/op	   38307 allocs/op
BenchmarkMapAppend/1000000    	     127	  94678348 ns/op	49621859 B/op	   38317 allocs/op
BenchmarkMapAppend/1000000    	     126	  92785930 ns/op	49620916 B/op	   38306 allocs/op
BenchmarkMapInsert/10         	52327152	       230.2 ns/op	     162 B/op	       1 allocs/op
BenchmarkMapInsert/10         	52091306	       229.6 ns/op	     162 B/op	       1 allocs/op
BenchmarkMapInsert/10         	52255892	       230.1 ns/op	     162 B/op	       1 allocs/op
BenchmarkMapInsert/10         	51987471	       230.6 ns/op	     162 B/op	       1 allocs/op
BenchmarkMapInsert/10         	52152344	       229.5 ns/op	     162 B/op	       1 allocs/op
BenchmarkMapInsert/10         	52223293	       229.7 ns/op	     162 B/op	       1 allocs/op
BenchmarkMapInsert/10         	52204102	       229.7 ns/op	     162 B/op	       1 allocs/op
BenchmarkMapInsert/10         	52167687	       230.0 ns/op	     162 B/op	       1 allocs/op
BenchmarkMapInsert/10         	52235479	       230.1 ns/op	     162 B/op	       1 allocs/op
BenchmarkMapInsert/10         	52093146	       239.5 ns/op	     162 B/op	       1 allocs/op
BenchmarkMapInsert/10         	52207173	       230.2 ns/op	     162 B/op	       1 allocs/op
BenchmarkMapInsert/10         	52234878	       231.4 ns/op	     162 B/op	       1 allocs/op
BenchmarkMapInsert/10         	52128686	       229.9 ns/op	     162 B/op	       1 allocs/op
