goos: linux
goarch: amd64
pkg: maps-benchmark
cpu: INTEL(R) XEON(R) PLATINUM 8581C CPU @ 2.30GHz
BenchmarkMapAppend/100000     	    2653	   4536702 ns/op	 4729439 B/op	     530 allocs/op
BenchmarkMapAppend/100000     	    2646	   4531920 ns/op	 4729439 B/op	     530 allocs/op
BenchmarkMapAppend/100000     	    2650	   4540288 ns/op	 4729454 B/op	     530 allocs/op
BenchmarkMapAppend/100000     	    2640	   4550778 ns/op	 4729410 B/op	     530 allocs/op
BenchmarkMapAppend/100000     	    2647	   4552098 ns/op	 4729499 B/op	     530 allocs/op
BenchmarkMapAppend/100000     	    2643	   4531614 ns/op	 4729439 B/op	     530 allocs/op
BenchmarkMapAppend/100000     	    2653	   4528968 ns/op	 4729365 B/op	     530 allocs/op
BenchmarkMapAppend/1000000    	     141	  85896863 ns/op	75480480 B/op	    8193 allocs/op
BenchmarkMapAppend/1000000    	     140	  85254615 ns/op	75489704 B/op	    8194 allocs/op
BenchmarkMapAppend/1000000    	     141	  84831713 ns/op	75485718 B/op	    8194 allocs/op
BenchmarkMapAppend/1000000    	     140	  85496345 ns/op	75479945 B/op	    8193 allocs/op
BenchmarkMapAppend/1000000    	     140	  85184246 ns/op	75495771 B/op	    8195 allocs/op
BenchmarkMapAppend/1000000    	     140	  84964154 ns/op	75485484 B/op	    8194 allocs/op
BenchmarkMapAppend/1000000    	     139	  86131956 ns/op	75490560 B/op	    8194 allocs/op
BenchmarkMapAppend/1000000    	     139	  85085902 ns/op	75496936 B/op	    8195 allocs/op
BenchmarkMapAppend/1000000    	     140	  84650202 ns/op	75476516 B/op	    8193 allocs/op
BenchmarkMapAppend/1000000    	     140	  87112966 ns/op	75481000 B/op	    8193 allocs/op
BenchmarkMapAppend/1000000    	     138	  85530651 ns/op	75486612 B/op	    8194 allocs/op
BenchmarkMapAppend/1000000    	     140	  84598819 ns/op	75488649 B/op	    8194 allocs/op
BenchmarkMapAppend/1000000    	     140	  85462848 ns/op	75498936 B/op	    8195 allocs/op
BenchmarkMapAppend/1000000    	     140	  84622079 ns/op	75488386 B/op	    8194 allocs/op
BenchmarkMapAppend/1000000    	     140	  85152870 ns/op	75492078 B/op	    8195 allocs/op
BenchmarkMapInsert/10         	56403096	       212.6 ns/op	     328 B/op	       3 allocs/op
BenchmarkMapInsert/10         	57090136	       210.5 ns/op	     328 B/op	       3 allocs/op
BenchmarkMapInsert/10         	57152353	       210.2 ns/op	     328 B/op	       3 allocs/op
BenchmarkMapInsert/10         	57131648	       210.2 ns/op	     328 B/op	       3 allocs/op
BenchmarkMapInsert/10         	56461527	       212.5 ns/op	     328 B/op	       3 allocs/op
BenchmarkMapInsert/10         	56575635	       212.5 ns/op	     328 B/op	       3 allocs/op
BenchmarkMapInsert/10         	56532346	       213.2 ns/op	     328 B/op	       3 allocs/op
BenchmarkMapInsert/10         	55514136	       212.4 ns/op	     328 B/op	       3 allocs/op
BenchmarkMapInsert/10         	56611464	       251.2 ns/op	     328 B/op	       3 allocs/op
BenchmarkMapInsert/10         	56192846	       212.7 ns/op	     328 B/op	       3 allocs/op
BenchmarkMapInsert/10         	56300755	       212.7 ns/op	     328 B/op	       3 allocs/op
BenchmarkMapInsert/10         	56350642	       213.8 ns/op	     328 B/op	       3 allocs/op
BenchmarkMapInsert/10         	56304114	       212.8 ns/op	     328 B/op	       3 allocs/op
BenchmarkMapInsert/10         	56519503	       212.7 ns/op	     328 B/op	       3 allocs/op
BenchmarkMapInsert/10         	56397822	       210.6 ns/op	     328 B/op	       3 allocs/op
BenchmarkMapInsert/100        	 8722761	      1375 ns/op	    2344 B/op	       3 allocs/op
